period,minute,second,play_pattern,team,match_id,match_time,ball_recovery,clearance,dispossessed,dribble,foul,interception,pass,shot,tackle
1,12,14,From Goal Kick,Denmark,3857254,0 days 00:12:14,0,0,0,0,0,0,1,0,0
1,12,18,From Goal Kick,Tunisia,3857254,0 days 00:12:18,0,1,0,0,0,0,0,0,0
1,12,22,Regular Play,Tunisia,3857254,0 days 00:12:22,1,0,0,0,0,0,0,0,0
1,12,26,Regular Play,Tunisia,3857254,0 days 00:12:26,0,0,0,0,0,0,1,0,0
1,12,30,Regular Play,Tunisia,3857254,0 days 00:12:30,0,0,0,0,0,0,1,0,0
1,12,34,Regular Play,Tunisia,3857254,0 days 00:12:34,0,0,0,0,0,0,1,0,0
1,12,37,Regular Play,Denmark,3857254,0 days 00:12:37,0,0,0,0,0,0,1,0,0
1,12,38,Regular Play,Tunisia,3857254,0 days 00:12:38,0,0,0,0,0,0,1,0,0
1,12,39,Regular Play,Tunisia,3857254,0 days 00:12:39,0,0,0,0,0,0,1,0,0
1,12,41,Regular Play,Denmark,3857254,0 days 00:12:41,0,0,0,0,0,0,1,0,0
1,12,44,Regular Play,Tunisia,3857254,0 days 00:12:44,0,0,0,0,0,0,1,0,0
1,12,47,Regular Play,Denmark,3857254,0 days 00:12:47,0,0,0,0,0,0,1,0,0
1,12,49,Regular Play,Tunisia,3857254,0 days 00:12:49,1,0,0,0,0,0,0,0,0
1,12,50,Regular Play,Tunisia,3857254,0 days 00:12:50,0,0,0,0,0,0,1,0,0
1,12,53,Regular Play,Tunisia,3857254,0 days 00:12:53,0,0,0,0,0,0,1,0,0
1,12,55,Regular Play,Denmark,3857254,0 days 00:12:55,0,0,0,0,0,0,1,0,0
1,12,57,Regular Play,Tunisia,3857254,0 days 00:12:57,1,0,0,0,0,0,0,0,0
1,13,1,Regular Play,Denmark,3857254,0 days 00:13:01,1,0,0,0,0,0,0,0,0
1,13,1,Regular Play,Denmark,3857254,0 days 00:13:01,0,0,0,0,0,0,1,0,0
1,13,3,Regular Play,Denmark,3857254,0 days 00:13:03,0,0,0,0,0,0,1,0,0
1,13,21,From Throw In,Denmark,3857254,0 days 00:13:21,0,0,0,0,0,0,1,0,0
1,13,42,From Throw In,Tunisia,3857254,0 days 00:13:42,0,0,0,0,0,0,1,0,0
1,13,44,From Throw In,Tunisia,3857254,0 days 00:13:44,0,0,0,0,0,0,1,0,0
1,13,47,From Throw In,Tunisia,3857254,0 days 00:13:47,0,0,1,0,0,0,0,0,0
1,13,47,From Throw In,Denmark,3857254,0 days 00:13:47,0,0,0,0,0,0,0,0,1
1,13,48,From Throw In,Denmark,3857254,0 days 00:13:48,0,1,0,0,0,0,0,0,0
1,13,52,From Throw In,Tunisia,3857254,0 days 00:13:52,1,0,0,0,0,0,0,0,0
1,13,56,From Throw In,Tunisia,3857254,0 days 00:13:56,0,0,0,0,0,0,1,0,0
1,13,59,From Throw In,Denmark,3857254,0 days 00:13:59,0,0,0,0,0,0,1,0,0
1,14,21,From Throw In,Tunisia,3857254,0 days 00:14:21,0,0,0,0,0,0,1,0,0
1,14,23,From Throw In,Denmark,3857254,0 days 00:14:23,0,0,0,0,0,0,1,0,0
1,14,24,From Throw In,Tunisia,3857254,0 days 00:14:24,0,0,0,0,0,0,1,0,0
1,14,27,From Throw In,Tunisia,3857254,0 days 00:14:27,0,0,0,0,0,0,1,0,0
1,14,30,From Throw In,Tunisia,3857254,0 days 00:14:30,0,0,0,0,0,0,1,0,0
1,14,34,From Throw In,Tunisia,3857254,0 days 00:14:34,0,0,0,0,0,0,1,0,0
1,14,37,From Throw In,Tunisia,3857254,0 days 00:14:37,0,0,0,0,0,0,1,0,0
1,14,38,Regular Play,Denmark,3857254,0 days 00:14:38,1,0,0,0,0,0,0,0,0
1,14,41,Regular Play,Denmark,3857254,0 days 00:14:41,0,0,0,0,0,0,1,0,0
1,14,42,Regular Play,Tunisia,3857254,0 days 00:14:42,1,0,0,0,0,0,0,0,0
1,14,43,Regular Play,Tunisia,3857254,0 days 00:14:43,0,1,0,0,0,0,0,0,0
1,14,45,Regular Play,Denmark,3857254,0 days 00:14:45,0,0,0,0,0,0,1,0,0
1,14,48,Regular Play,Denmark,3857254,0 days 00:14:48,0,0,0,0,0,0,1,0,0
1,14,50,Regular Play,Denmark,3857254,0 days 00:14:50,0,0,0,0,0,0,1,0,0
1,14,52,Regular Play,Denmark,3857254,0 days 00:14:52,0,0,0,0,0,0,1,0,0
1,15,14,From Goal Kick,Tunisia,3857254,0 days 00:15:14,0,0,0,0,0,0,1,0,0
1,15,19,From Goal Kick,Tunisia,3857254,0 days 00:15:19,0,0,0,0,0,0,1,0,0
1,15,23,Regular Play,Denmark,3857254,0 days 00:15:23,0,0,0,0,0,0,1,0,0
1,15,24,Regular Play,Denmark,3857254,0 days 00:15:24,0,0,0,1,0,0,0,0,0
1,15,24,Regular Play,Tunisia,3857254,0 days 00:15:24,0,0,0,0,0,0,0,0,1
