period,minute,second,play_pattern,team,match_id,match_time,ball_recovery,clearance,dispossessed,dribble,foul,interception,pass,shot,tackle
2,57,0,From Throw In,Denmark,3857254,0 days 00:57:00,0,0,0,0,0,0,1,0,0
2,57,4,From Throw In,Denmark,3857254,0 days 00:57:04,0,0,0,0,0,0,1,0,0
2,57,8,Regular Play,Tunisia,3857254,0 days 00:57:08,1,0,0,0,0,0,0,0,0
2,57,14,Regular Play,Tunisia,3857254,0 days 00:57:14,0,0,0,0,0,0,1,0,0
2,57,18,Regular Play,Tunisia,3857254,0 days 00:57:18,0,0,0,0,0,0,1,0,0
2,57,29,Regular Play,Tunisia,3857254,0 days 00:57:29,0,0,0,0,0,0,1,0,0
2,57,32,Regular Play,Tunisia,3857254,0 days 00:57:32,0,0,0,0,0,0,1,0,0
2,57,34,Regular Play,Denmark,3857254,0 days 00:57:34,0,1,0,0,0,0,0,0,0
2,57,35,Regular Play,Tunisia,3857254,0 days 00:57:35,1,0,0,0,0,0,0,0,0
2,57,37,Regular Play,Denmark,3857254,0 days 00:57:37,0,1,0,0,0,0,0,0,0
2,57,40,Regular Play,Denmark,3857254,0 days 00:57:40,1,0,0,0,0,0,0,0,0
2,57,48,Regular Play,Denmark,3857254,0 days 00:57:48,0,0,0,0,0,0,1,0,0
2,57,52,Regular Play,Denmark,3857254,0 days 00:57:52,0,0,0,0,0,0,1,0,0
2,57,55,Regular Play,Denmark,3857254,0 days 00:57:55,0,0,0,0,0,0,1,0,0
2,57,59,Regular Play,Denmark,3857254,0 days 00:57:59,0,0,0,0,0,0,1,0,0
2,58,1,Regular Play,Denmark,3857254,0 days 00:58:01,0,0,0,0,0,0,1,0,0
2,58,4,Regular Play,Denmark,3857254,0 days 00:58:04,0,0,0,0,0,0,1,0,0
2,58,12,Regular Play,Denmark,3857254,0 days 00:58:12,0,0,0,0,0,0,1,0,0
2,58,15,Regular Play,Denmark,3857254,0 days 00:58:15,0,0,0,0,0,0,1,0,0
2,58,17,Regular Play,Denmark,3857254,0 days 00:58:17,0,0,0,0,0,0,1,0,0
2,58,19,Regular Play,Denmark,3857254,0 days 00:58:19,0,0,0,0,0,0,1,0,0
2,58,22,Regular Play,Denmark,3857254,0 days 00:58:22,0,0,0,0,0,0,1,0,0
2,58,25,Regular Play,Denmark,3857254,0 days 00:58:25,0,0,0,0,0,0,1,0,0
2,58,28,Regular Play,Denmark,3857254,0 days 00:58:28,0,0,1,0,0,0,0,0,0
2,58,28,Regular Play,Tunisia,3857254,0 days 00:58:28,0,0,0,0,0,0,0,0,1
2,58,30,Regular Play,Tunisia,3857254,0 days 00:58:30,0,0,0,0,0,0,1,0,0
2,58,35,Regular Play,Tunisia,3857254,0 days 00:58:35,0,0,0,0,0,0,1,0,0
2,58,36,Regular Play,Tunisia,3857254,0 days 00:58:36,0,0,0,0,0,0,1,0,0
2,58,38,Regular Play,Tunisia,3857254,0 days 00:58:38,0,0,0,0,0,0,1,0,0
2,58,40,Regular Play,Tunisia,3857254,0 days 00:58:40,0,0,0,0,0,0,1,0,0
2,58,43,Regular Play,Tunisia,3857254,0 days 00:58:43,0,0,0,0,0,0,1,0,0
2,58,43,Regular Play,Tunisia,3857254,0 days 00:58:43,0,0,0,0,0,0,1,0,0
2,58,46,Regular Play,Tunisia,3857254,0 days 00:58:46,0,0,0,0,0,0,1,0,0
2,58,49,Regular Play,Tunisia,3857254,0 days 00:58:49,0,0,0,0,0,0,1,0,0
2,58,50,Regular Play,Tunisia,3857254,0 days 00:58:50,0,0,0,0,0,0,1,0,0
2,58,52,Regular Play,Tunisia,3857254,0 days 00:58:52,0,0,0,0,0,0,1,0,0
2,58,55,Regular Play,Tunisia,3857254,0 days 00:58:55,0,0,0,0,0,0,1,0,0
2,58,58,Regular Play,Tunisia,3857254,0 days 00:58:58,0,0,0,0,0,0,1,0,0
2,59,1,Regular Play,Tunisia,3857254,0 days 00:59:01,0,0,0,0,0,0,1,0,0
2,59,4,Regular Play,Tunisia,3857254,0 days 00:59:04,0,0,0,0,0,0,1,0,0
2,59,5,Regular Play,Denmark,3857254,0 days 00:59:05,0,0,0,0,0,1,0,0,0
2,59,6,Regular Play,Tunisia,3857254,0 days 00:59:06,1,0,0,0,0,0,0,0,0
2,59,8,Regular Play,Tunisia,3857254,0 days 00:59:08,0,0,0,0,0,0,1,0,0
2,59,11,Regular Play,Denmark,3857254,0 days 00:59:11,0,0,0,0,1,0,0,0,0
2,59,16,From Free Kick,Tunisia,3857254,0 days 00:59:16,0,0,0,0,0,0,1,0,0
2,59,17,From Free Kick,Tunisia,3857254,0 days 00:59:17,0,0,0,0,0,0,1,0,0
2,59,20,From Free Kick,Tunisia,3857254,0 days 00:59:20,0,0,0,0,0,0,1,0,0
2,59,23,From Free Kick,Tunisia,3857254,0 days 00:59:23,0,0,0,0,0,0,1,0,0
2,59,27,From Free Kick,Tunisia,3857254,0 days 00:59:27,0,0,0,0,0,0,1,0,0
2,59,28,From Free Kick,Tunisia,3857254,0 days 00:59:28,0,0,0,0,0,0,1,0,0
2,59,29,From Free Kick,Tunisia,3857254,0 days 00:59:29,0,0,0,0,0,0,1,0,0
2,59,31,From Free Kick,Tunisia,3857254,0 days 00:59:31,0,0,0,0,0,0,1,0,0
2,59,33,From Free Kick,Tunisia,3857254,0 days 00:59:33,0,0,0,0,0,0,1,0,0
2,59,37,From Free Kick,Tunisia,3857254,0 days 00:59:37,0,0,0,0,0,0,1,0,0
2,59,41,From Free Kick,Tunisia,3857254,0 days 00:59:41,0,0,0,0,0,0,1,0,0
2,59,43,From Free Kick,Tunisia,3857254,0 days 00:59:43,0,0,0,0,0,0,1,0,0
2,59,47,From Free Kick,Tunisia,3857254,0 days 00:59:47,0,0,0,0,0,0,1,0,0
2,59,49,From Free Kick,Tunisia,3857254,0 days 00:59:49,0,0,0,0,0,0,1,0,0
