period,minute,second,play_pattern,team,match_id,match_time,ball_recovery,clearance,dispossessed,dribble,foul,interception,pass,shot,tackle
2,67,2,From Free Kick,Denmark,3857254,0 days 01:07:02,0,0,0,0,0,0,1,0,0
2,67,5,From Free Kick,Denmark,3857254,0 days 01:07:05,0,0,0,0,0,0,1,0,0
2,67,7,From Free Kick,Tunisia,3857254,0 days 01:07:07,0,0,0,0,0,1,0,0,0
2,67,18,From Throw In,Denmark,3857254,0 days 01:07:18,0,0,0,0,0,0,1,0,0
2,67,21,From Throw In,Denmark,3857254,0 days 01:07:21,0,0,0,0,0,0,1,0,0
2,67,26,From Throw In,Denmark,3857254,0 days 01:07:26,0,0,0,0,0,0,1,0,0
2,67,31,From Throw In,Denmark,3857254,0 days 01:07:31,0,0,0,0,0,0,1,0,0
2,67,34,From Throw In,Denmark,3857254,0 days 01:07:34,0,0,0,0,0,0,1,0,0
2,67,37,From Throw In,Tunisia,3857254,0 days 01:07:37,0,1,0,0,0,0,0,0,0
2,67,39,Regular Play,Tunisia,3857254,0 days 01:07:39,0,0,0,0,0,0,1,0,0
2,67,43,Regular Play,Tunisia,3857254,0 days 01:07:43,0,0,0,0,0,0,1,0,0
2,67,43,Regular Play,Tunisia,3857254,0 days 01:07:43,0,0,0,0,0,0,1,0,0
2,67,46,Regular Play,Tunisia,3857254,0 days 01:07:46,1,0,0,0,0,0,0,0,0
2,67,51,Regular Play,Tunisia,3857254,0 days 01:07:51,0,0,0,0,0,0,1,0,0
2,67,58,From Keeper,Denmark,3857254,0 days 01:07:58,0,0,0,0,0,0,1,0,0
2,68,1,From Keeper,Denmark,3857254,0 days 01:08:01,0,0,0,0,0,0,1,0,0
2,68,4,From Keeper,Denmark,3857254,0 days 01:08:04,0,0,0,0,0,0,1,0,0
2,68,5,From Keeper,Denmark,3857254,0 days 01:08:05,0,0,0,0,0,0,1,0,0
2,68,7,From Keeper,Denmark,3857254,0 days 01:08:07,0,0,0,0,0,0,1,0,0
2,68,9,From Keeper,Denmark,3857254,0 days 01:08:09,0,0,0,0,0,0,1,0,0
2,68,12,From Keeper,Denmark,3857254,0 days 01:08:12,0,0,0,0,0,0,1,0,0
2,68,22,From Keeper,Denmark,3857254,0 days 01:08:22,0,0,0,0,0,0,1,0,0
2,68,26,From Keeper,Denmark,3857254,0 days 01:08:26,0,0,0,0,0,0,0,1,0
2,69,12,From Corner,Denmark,3857254,0 days 01:09:12,0,0,0,0,0,0,1,0,0
2,69,15,From Corner,Denmark,3857254,0 days 01:09:15,0,0,0,0,0,0,0,1,0
2,69,16,From Corner,Denmark,3857254,0 days 01:09:16,1,0,0,0,0,0,0,0,0
2,69,16,From Corner,Denmark,3857254,0 days 01:09:16,0,0,0,0,0,0,0,1,0
2,69,17,From Corner,Tunisia,3857254,0 days 01:09:17,1,0,0,0,0,0,0,0,0
2,69,18,From Corner,Tunisia,3857254,0 days 01:09:18,0,0,0,0,0,0,1,0,0
2,69,20,From Corner,Denmark,3857254,0 days 01:09:20,0,0,0,0,0,0,1,0,0
2,69,20,From Corner,Tunisia,3857254,0 days 01:09:20,1,0,0,0,0,0,0,0,0
2,69,22,From Corner,Tunisia,3857254,0 days 01:09:22,0,0,0,1,0,0,0,0,0
2,69,24,From Corner,Tunisia,3857254,0 days 01:09:24,0,0,0,0,0,0,1,0,0
2,69,28,From Corner,Denmark,3857254,0 days 01:09:28,0,0,0,0,0,0,1,0,0
2,69,42,From Corner,Denmark,3857254,0 days 01:09:42,0,0,0,0,0,0,1,0,0
2,69,43,From Corner,Denmark,3857254,0 days 01:09:43,0,0,0,0,0,0,1,0,0
2,69,44,From Corner,Tunisia,3857254,0 days 01:09:44,0,0,0,0,0,1,0,0,0
2,69,47,From Corner,Tunisia,3857254,0 days 01:09:47,0,0,0,0,0,0,1,0,0
2,69,49,From Corner,Denmark,3857254,0 days 01:09:49,0,0,0,0,0,0,1,0,0
2,69,50,From Corner,Denmark,3857254,0 days 01:09:50,0,0,0,0,0,0,1,0,0
2,69,53,Regular Play,Tunisia,3857254,0 days 01:09:53,1,0,0,0,0,0,0,0,0
2,69,54,Regular Play,Tunisia,3857254,0 days 01:09:54,0,0,0,0,0,0,1,0,0
2,69,55,Regular Play,Tunisia,3857254,0 days 01:09:55,0,0,0,0,0,0,1,0,0
2,69,58,Regular Play,Tunisia,3857254,0 days 01:09:58,0,0,0,1,0,0,0,0,0
2,70,0,Regular Play,Tunisia,3857254,0 days 01:10:00,0,0,0,0,0,0,1,0,0
2,70,5,Regular Play,Tunisia,3857254,0 days 01:10:05,0,0,0,1,0,0,0,0,0
2,70,7,Regular Play,Denmark,3857254,0 days 01:10:07,1,0,0,0,0,0,0,0,0
2,70,7,Regular Play,Denmark,3857254,0 days 01:10:07,0,0,0,1,0,0,0,0,0
2,70,7,Regular Play,Tunisia,3857254,0 days 01:10:07,0,0,0,0,0,0,0,0,1
2,71,11,From Corner,Tunisia,3857254,0 days 01:11:11,0,0,0,0,0,0,1,0,0
2,71,42,From Goal Kick,Denmark,3857254,0 days 01:11:42,0,0,0,0,0,0,1,0,0
2,71,47,Regular Play,Tunisia,3857254,0 days 01:11:47,0,0,0,0,0,0,1,0,0
